"Temporada","Carreras","Escudería","¿Campeón?","Puntaje","Victorias","Podios","% victorias","% puntos","Diferencia (puntos)con el ganador"
"2000","17","Ferrari","Si","170","10","21","58.82%","41.26","0"
"2000","17","Mclaren","No","152","","","","","18"
